ID,Nword,Nsent,register,Nsent2,Bepp,Getpp,Nbepp,Ngetpp,Bepp-by,Getpp-by,NBepp-by,NGetpp-by
S49,2881,184,Spoken,184,"['Well, I hope so.Our entire civilization, everything that we value, is based on our intelligence.', 'I will do anything to defend myself against interference with this objective that I have been given.""', ""And in fact you can calculate the incentive that the robot has to allow the human to switch it off, and it's directly tied to the degree of uncertainty about the underlying objective.And then when the machine is switched off, that third principle comes into play."", ""You are provably better off with a machine that's designed in this way than without it."", 'I arranged for his plane to be delayed.""', ""It'll only become more certain as it becomes more correct, so the evidence is there and it's going to be designed to interpret it correctly."", 'The more rational the person, the more willing you are to be switched off.', ""If the person is completely random or even malicious, then you're less willing to be switched off.CA: All right.""]","[""And there are many, many difficulties involved in doing this; I don't expect that this is going to get solved very quickly.""]",8,1,[],[],0,0
S52,1357,74,Spoken,74,"['There are two groups of Americans who are not immigrants: Native Americans, who were indigenous to this land and who were killed in acts of genocide; and African Americans, who were kidnapped, shipped and enslaved to build this country.', ""There's no question about Ellis Island, about the United States as an immigrant nation and the countless anti-immigrant laws that were passed."", 'In 1996, a year before I found out I was in the country illegally, my eighth-grade class was assigned to read ""The Bluest Eye,"" Morrison\'s first book.', ""They're asking the questions that need to be asked.""]","['As a person of color, I always get asked where I\'m from, as in, ""Where are you from from?""']",4,1,[],[],0,0
S53,1757,103,Spoken,103,"['?I shouldn\'t say ""man,"" because women were involved ?', ""So we need to return to this era of bipartisanship, mutual problem-solving that's based on understanding and awareness about the challenges we face and the real nuclear dangers.And that's where you come in.""]",[],2,0,[],[],0,0
S57,2156,121,Spoken,121,"[""If you've ever lived through a natural disaster, been bullied or been made redundant, stand on up."", 'We are hardwired for that negative.', 'Negative emotions stick to us like Velcro, whereas positive emotions and experiences seems to bounce off like Teflon.Being wired in this way is actually really good for us, and served us well from an evolutionary perspective.', ""This is a question that's used a lot in good therapy."", '""This question can be applied to so many different contexts.']","['That we were likely to get divorced and we were at high risk of mental illness.', 'Resilient people don\'t diminish the negative, but they also have worked out a way of tuning into the good.One day, when doubts were threatening to overwhelm me, I distinctly remember thinking, ""No, you do not get to get swallowed up by this.']",5,2,[],"['Resilient people don\'t diminish the negative, but they also have worked out a way of tuning into the good.One day, when doubts were threatening to overwhelm me, I distinctly remember thinking, ""No, you do not get to get swallowed up by this.']",0,1
S59,668,45,Spoken,45,"['For me, those rituals are when I gather my energy, assume my work character and get into the right headspace to dive in.']","['To get started, ask the introverts in your office what their ideal day looks like and take your cue from there.']",1,1,[],[],0,0
S62,1117,52,Spoken,52,"['For example, studies have found, that if both parents work, kids from poorer families are impacted positively, and kids from richer families are impacted less positively.']",[],1,0,[],[],0,0
S64,588,38,Spoken,38,"['Do you think they are fixed at birth, or that they can be developed, like a muscle?', ""If you have a fixed mindset, meaning that you think your talents are locked in place, you might give up, assuming you've discovered  something you're not very good at."", 'J.K. Rowling was rejected by twelve different publishers before one picked up ""Harry Potter.""', ""The Wright Brothers built on history's failed attempts at flight, including some of their own, before designing a successful airplane.""]",[],4,0,"['J.K. Rowling was rejected by twelve different publishers before one picked up ""Harry Potter.""']",[],1,0
S68,2399,198,Spoken,198,"[""?what's called depth-first processing ?"", '?to focus, not be distracted.', ""And when people are finished, they don't throw it away."", ""I'm doing a lot; most of my talk is subconscious; it has been rehearsed and thought about a lot."", ""And when it's finished, you put it vertically, and now the tea is ?""]",[],5,0,[],[],0,0
S70,3008,224,Spoken,224,"[""And while most of the greatest social movements in history were powered purely by an idea and people's belief in that idea, real change and impact require resources.Real people do this work, they need real change, real impact and resources to actually make it happen."", 'Money is complicated, it makes everyone squeamish, it makes everyone act kind of weird.', 'I worked with this CEO once, and I was hired to teach him how to talk to human people, like a human person.', ""You're asking on behalf of all of the people you serve or are touched by your genius.""]","['If you want to be good at raising money, you have to be able to reframe the ask, both for yourself and for other people, as an opportunity.Next, you have to get prepared to build some relationships.']",4,1,"[""And while most of the greatest social movements in history were powered purely by an idea and people's belief in that idea, real change and impact require resources.Real people do this work, they need real change, real impact and resources to actually make it happen."", ""You're asking on behalf of all of the people you serve or are touched by your genius.""]",[],2,0
S71,1436,91,Spoken,91,"['Now, some say number seven has been counted twice.', ""Indeed, and add to that the hookup culture, ergo apps like Tinder, and it's no great surprise that the 20-somethings that I work with will often talk to me about how it is often easier for them to have sex with somebody that they've met than have a meaningful conversation.Now, some say this is a bad thing."", ""That's a good thing, because the older you are when you get married, the lower your divorce rate."", ""I'm often intrigued by why couples come in to see me after they've been married for 30 or 40 years.""]","[""That's a good thing, because the older you are when you get married, the lower your divorce rate."", 'Why is it helpful to get married later?', 'So these three factors all kind of get mixed up together.', 'So when I ask somebody who got married young why they broke up, and they say, ""We grew apart,"" they\'re being surprisingly accurate, because the 20s is a decade of rapid change and maturation.So the first thing you want to get before you get married is older.']",4,4,"[""I'm often intrigued by why couples come in to see me after they've been married for 30 or 40 years.""]",[],1,0
S74,2275,143,Spoken,143,"[""I'm being led from checkpoint to checkpoint, and before each door opens, the door behind me slams shut."", ""Their arms are strapped across their chests, flashes of anger in their eyes - I'm terrified and I'm thinking, They were worried about my almonds?"", 'Inmates are released into gang territory, often with no way to get home - if they have a home.', ""I didn't interfere, and they opened up collaboration that was unprecedented in Chicago."", 'He shared his experience as a newcomer to Belfast, standing on a bus, exhausted after work, and suddenly being surrounded by a group of men.', 'Now, these are men who have taken lives, who have devastated many families, in some cases their own, and now they start finishing each other\'s sentences about tolerance, inclusion and respect, and this builds and builds in the room until finally, I can\'t resist the irony, and so I announce, ""Well, mission accomplished.']",[],6,0,"['He shared his experience as a newcomer to Belfast, standing on a bus, exhausted after work, and suddenly being surrounded by a group of men.']",[],1,0
S77,2279,159,Spoken,159,"[""So you know there's a storm coming, the levee is broken, no one's put any money into it, you surround your home with sandbags."", 'I was raised on them.']",['And then we build McMansions without even thinking about how people are going to get between them and their job.'],2,1,[],[],0,0
S81,1158,63,Spoken,63,"['Have you ever been robbed?', ""And Karura Forest was saved.In the 2000s, I joined my mother in the Green Belt Movement and witnessed the growth of the movement's advocacy activities, its expansion beyond Kenya and an extremely important growing consensus around the 2004 Nobel Peace Prize that she received ?"", 'When young men are willing to join gangs and brutalize their communities for a small fee, and women are raped on the way to work, and, when they report this, the perpetrators bribe their way out of jail, and when young girls have to sell their bodies to buy sanitary towels, you know the society is broken.In recent years, Kenya has been ranked amongst the top 10 most corrupt countries in the world.', 'In a country where anti-corruption efforts have been frustrated and ignored and interfered with, we absolutely need new strategies for dealing with this vice.', 'At some point, these behaviors are fostered by a culture that promotes individual gain over collective progress.', 'But fighting corruption is not as easy as saying corruption is bad.Now, here are three strategies that we are employing that we believe can be replicated in any school community.', ""And a self-confident child is likely to stand up for what they believe.Third, we need to build personal leadership in our children early to give them an opportunity to know what it looks like to call corruption out when they see it, what it feels like to stand up and be counted when they're needed and, for me, to make the more and most important connection between human suffering on one hand and corruption, greed and selfishness on the other.We have got to believe in our capacity to bring about the future we want to see, each of us in our small way.""]",[],7,0,"['At some point, these behaviors are fostered by a culture that promotes individual gain over collective progress.']",[],1,0
S89,1337,72,Spoken,72,"[""And all these years later, the poems I'll read today are from my just-finished seventh book of poetry.Well, five years ago, I was diagnosed with Parkinson's disease."", 'But you can imagine that I was appalled to learn that women are largely left out of research trials, despite gender-specific medical findings having demonstrated that we are not actually just small men ?', 'Thank you.This one is called ""On Donating My Brain to Science.""', 'Share me, hear me:I want to be used I want to be used I want to be used up.', 'And this one\'s called ""The Ghost Light.']",[],5,0,[],[],0,0
S94,2360,67,Spoken,67,"[""Well, in a time when all of the water resources are spoken for, it's not going to be possible to rely on this tried and true way of providing ourselves with water.Some people think that we're going to solve the urban water problem by taking water from our rural neighbors."", 'Let me give you an example.This figure here shows you the volume of water that could be collected in the city of San Jose if they could harvest the stormwater that fell within the city limits.', ""Well, the answer is you don't want to drink it until it's been treated a little bit."", ""The water that's captured in the quarry is slowly passed through a man-made wetland, and then it goes into that ball field there and percolates into the ground, recharging the drinking water aquifer of the city.And in the process of passing through the wetland and percolating through the ground, the water encounters microbes that live on the surfaces of the plants and the surfaces of the soil, and that purifies the water."", ""And if the water's still not clean enough to drink after it's been through this natural treatment process, the city can treat it again when they pump if back out of the groundwater aquifers before they deliver it to people to drink.The second tap that we need to open up to solve our urban water problem will flow with the wastewater that comes out of our sewage treatment plants."", ""You've probably seen signs like this that tell you that the shrubbery and the highway median and the local golf course is being watered with water that used to be in a sewage treatment plant."", ""The ultraviolet light cleaves the hydrogen peroxide into two parts that are called hydroxyl radicals, and these hydroxyl radicals are very potent forms of oxygen that break down most organic chemicals.After the water's been through this two-stage process, it's safe to drink."", ""The water comes into our treatment wetland, it's exposed to sunlight and algae and those break down the organic chemicals, remove the nutrients and inactivate the waterborne pathogens.""]",[],8,0,"[""Well, in a time when all of the water resources are spoken for, it's not going to be possible to rely on this tried and true way of providing ourselves with water.Some people think that we're going to solve the urban water problem by taking water from our rural neighbors.""]",[],1,0
S97,1345,84,Spoken,84,"[""You know, we live in a world that's subjected to ever more stringent child safety regulations."", 'The book is called ""50 Dangerous Things.""', ""It's an important lesson for kids to understand, that some of these laws get broken by accident, and that laws have to be interpreted.""]","[""It's an important lesson for kids to understand, that some of these laws get broken by accident, and that laws have to be interpreted."", ""This happens about the same time that they get latched onto things like dinosaurs, these big things in the outside world, that they're trying to get a grip on.""]",3,2,"[""It's an important lesson for kids to understand, that some of these laws get broken by accident, and that laws have to be interpreted.""]","[""It's an important lesson for kids to understand, that some of these laws get broken by accident, and that laws have to be interpreted.""]",1,1
S103,673,41,Spoken,41,"[""For example, if you're deciding whether to try out the newest diet craze, your reasons for doing so may be obscured by other factors, like claims that you'll see results in just two weeks.""]",[],1,0,"[""For example, if you're deciding whether to try out the newest diet craze, your reasons for doing so may be obscured by other factors, like claims that you'll see results in just two weeks.""]",[],1,0
S109,2103,159,Spoken,159,"[""I mean, maybe it's even possible to extend the coloring to more numbers."", ""It's not uncommon for students to graduate from high school believing that every math problem can be solved in 30 seconds or less, and if they don't know the answer, they're just not a math person."", 'In fact, all of the infinite numbers on the real line would be stacked up in those eight spots.']",[],3,0,[],[],0,0
S110,2522,144,Spoken,144,"[""That means before you even walk up to the lift to press the button, it's anticipated you being there."", ""It's easy for our imaginations to be occupied with science fiction, well, over the last 100 years."", 'This system is comprised of 1.8 kilometers of stone walls shaped like a series of fishnets with the ""Us"" pointing down the river, allowing fish to be trapped at different heights of the water.', 'How would all of that be manifested to you in the lift?The third question we ask is how do we think about assurance.', ""Users of the systems would want to understand how these things are regulated, managed and built.And then there's the final, perhaps most critical question that you need to ask of these new AI systems."", ""Here, we're influenced by the work that was started way back in the 1940s."", 'Participants in the Macy Conferences were concerned with how the mind worked, with ideas about intelligence and learning, and about the role of technology in our future.Sadly, the conversations that started with the Macy Conference are often forgotten when the talk is about AI.']",['How does it get framed and imagined?There are no simple answers to these questions.'],7,1,"[""Here, we're influenced by the work that was started way back in the 1940s.""]",[],1,0
S121,2876,181,Spoken,181,"[""In four years' time, it's estimated it'll be worth over 80 billion dollars."", ""Now if we look at what's going on in someone's head when they are being engaged, two quite different processes are occurring."", ""Your ambition is satisfied, but it's very beautiful."", ""Every single thing that every single person who's ever played in a game has ever done can be measured."", ""And what we do is make sure that every time a box is opened, there's something in it, some little reward that keeps people progressing and engaged."", ""And one thing they certainly do at the moment is if you got a 0.1 percent awesome item, they make very sure another one doesn't appear for a certain length of time to keep the value, to keep it special.And the point is really that we evolved to be satisfied by the world in particular ways."", ""?something that's been talked about brilliantly by people like Jesse Schell earlier this year."", 'We just want to go back and find out more.As you probably know, the neurotransmitter associated with learning is called dopamine.', ""It's associated with reward-seeking behavior."", 'But you know, sort of ""our brains have been manipulated; we\'re all addicts.""', ""In reward terms, it's not money; it's not being given cash ?"", ""So we're seeing financial reward being used to tackle the great issue of obesity."", 'But again, those rewards could be calibrated so precisely if we were able to use the vast expertise of gaming systems to just jack up that appeal, to take the data, to take the observations, of millions of human hours and plow that feedback into increasing engagement.And in the end, it\'s this word, ""engagement,"" that I want to leave you with.', ""It's about how individual engagement can be transformed by the psychological and the neurological lessons we can learn from watching people that are playing games.""]",[],14,0,"[""And one thing they certainly do at the moment is if you got a 0.1 percent awesome item, they make very sure another one doesn't appear for a certain length of time to keep the value, to keep it special.And the point is really that we evolved to be satisfied by the world in particular ways."", ""?something that's been talked about brilliantly by people like Jesse Schell earlier this year."", ""It's about how individual engagement can be transformed by the psychological and the neurological lessons we can learn from watching people that are playing games.""]",[],3,0
S125,2630,105,Spoken,105,"['But how different are men and women, really?', 'So if we look at the data for men here, we see what is called a normal distribution curve.', ""OK, so if you said A, then this means that you're a visual learner, and you learn best when information is presented in a visual style."", ""If you said B, it means you're an auditory learner, that you learn best when information is presented to you in an auditory format."", 'We know this because in tightly controlled experimental studies when learners are given material to learn, either in their preferred style or an opposite style, it makes no difference at all to the amount of information they retain.', 'No; what you need to do is match the material to be learned to the presentation format, not you.I know many of you are A-level students that will have recently gotten your GCSE results.', 'But what is true is that ambidextrous people, or people who use both hands for different tasks, are more creative thinkers than one-handed people, because being ambidextrous involves having both sides of the brain talk to each other a lot, which seems to be involved in creative and flexible thinking.', 'So the original study found that participants who were played Mozart music for a few minutes did better on a subsequent IQ test than participants who simply sat in silence.', 'The story goes that participants were prepared to give what they believed to be fatal electric shocks to a fellow participant when they got a question wrong, just because someone in a white coat told them to.But this story is a myth for three reasons.', ""When they were interviewed after the study, all the participants said that they firmly believed that the learning and punishment study served a worthy scientific purpose which would have enduring gains for science, as opposed to the momentary, nonfatal discomfort caused to the participants.OK, so I've been talking for about 12 minutes now, and you've probably been sitting there listening to me, analyzing my speech patterns and body language and trying to work out if you should take any notice of what I'm saying, whether I'm telling the truth or whether I'm lying."", 'What we need to do is assess psychological theories by seeing what predictions they make, whether that is that listening to Mozart makes you smarter, that you learn better when information is presented in your preferred learning style or whatever it is, all of these are testable empirical predictions, and the only way we can make progress is to test these predictions against the data in tightly controlled experimental studies.']",[],11,0,"['What we need to do is assess psychological theories by seeing what predictions they make, whether that is that listening to Mozart makes you smarter, that you learn better when information is presented in your preferred learning style or whatever it is, all of these are testable empirical predictions, and the only way we can make progress is to test these predictions against the data in tightly controlled experimental studies.']",[],1,0
S135,1424,79,Spoken,79,"['A curious little invention is being talked about.', ""It's called a microscope."", ""We still have this monster soup around, and it's taken hold in the developing countries around the tropical belt."", ""Just for malaria itself, there are a million deaths a year, and more than a billion people that need to be tested because they are at risk for different species of malarial infections.Now it's actually very simple to put a face to many of these monsters."", ""We didn't want to change this, because this is the standard that's been optimized for over the years, and many health workers are actually used to this."", ""There is an XY stage, and then there is a focusing stage, which is a flexure mechanism that's built in paper itself that allows us to move and focus the lenses by micron steps.So what's really interesting about this object, and my students hate when I do this, but I'm going to do this anyway, is these are rugged devices."", ""You get to see the beam the  way it's projected and bent.Can we get the lights back on again?So I'm quickly going to show you, since I'm running out of time, in terms of how much it costs for us to manufacture, the biggest idea was roll-to-roll manufacturing, so we built this out of 50 cents of parts and costs."", 'This is when we were thinking about the idea.']",[],8,0,"[""There is an XY stage, and then there is a focusing stage, which is a flexure mechanism that's built in paper itself that allows us to move and focus the lenses by micron steps.So what's really interesting about this object, and my students hate when I do this, but I'm going to do this anyway, is these are rugged devices.""]",[],1,0
S140,2151,122,Spoken,122,"['We are crushed.', '?Laughter)you will see that it can be defined as both ""grievous affliction,"" and, ""to be very much in love.""', '?as if my entire well-being depended on him loving me back ?', 'This is true.This study from 1999 used blood tests to confirm that the serotonin levels of the newly in love very closely resembled the serotonin levels of people who had been diagnosed with obsessive-compulsive disorder.', 'So there is some evidence that love is associated with changes to our moods and our behaviors.', 'And there are other studies to confirm that most relationships begin this way.Researchers believe that the low levels of serotonin is correlated with obsessive thinking about the object of love, which is like this feeling that someone has set up camp in your brain.', ""Ultimately, each experience of love is different.When I was younger, it never occurred to me that I was allowed to demand more from love, that I didn't have to just accept whatever love offered."", ""He's alive, he's healthy, he's just been banished from the city.""]",[],8,0,[],[],0,0
S142,2403,149,Spoken,149,"['Once an aspiring student thinking only of her future, now she was scared all the time.But she was also full of hope, because she was in love with a fellow Syrian refugee named Bassem.', 'And Doaa was terrified of the water.', '?to the smugglers.It was a Saturday morning when the call came, and they were taken by bus to a beach, hundreds of people on the beach.', 'They were taken then by small boats onto an old fishing boat, 500 of them crammed onto that boat, 300 below,   above.', 'The parents were terrified for their children, and they collectively refused to disembark.', 'And they started laughing as the boat capsized and sank.The 300 people below deck were doomed.', 'And the communities, the neighboring countries that once welcomed them with open arms and hearts are overwhelmed.', 'That means that over half the Syrian population has been forced to flee.', ""A refugee's stay is supposed to be temporary.Back to Doaa and Bassem in the water."", ""And then she went away and drowned.So Doaa, the 19-year-old refugee who was terrified of the water, who couldn't swim, found herself in charge of two little baby kids."", 'And they were thirsty and they were hungry and they were agitated, and she tried her best to amuse them, to sing to them, to say words to them from the Quran.', 'But Doaa was sure that as they had been pulled up onto the rescue boat, that little baby girl had been smiling.Only 11 people survived that wreck, of the 500.', 'An Egyptian family took her into their home as soon as she was released.', ""And soon word went around about Doaa's survival, and a phone number was published on Facebook."", ""Soon, we hope, Masa will be reunited with him in Sweden, and until then, she's being cared for in a beautiful orphanage in Athens.And Doaa?"", 'Until these issues are resolved, people will continue to take to the seas and to seek safety and asylum.And what happens next?', 'People are worried about their security, their economies, the changes of culture.', 'Could we be inspired by what happened, and take a stand for a world in which every life matters?Thank you.']","['We will make it to Sweden, we will get married and we will have a future.']",18,1,"['?to the smugglers.It was a Saturday morning when the call came, and they were taken by bus to a beach, hundreds of people on the beach.', 'They were taken then by small boats onto an old fishing boat, 500 of them crammed onto that boat, 300 below,   above.', 'Could we be inspired by what happened, and take a stand for a world in which every life matters?Thank you.']",[],3,0
S145,1307,97,Spoken,100,"[""If you couldn't find a home in a city to either buy or rent, you too would be driven to do what most people end up doing."", 'How to make a settlement secure?Firstly, eviction needs to be stopped.', 'Bulldozing needs to be stopped.', 'It is inhabited over time.', 'What kind of illegally captured land is this, which was ignored for 30 years and suddenly a day before eviction is declared illegal?', ""Can such a huge number of people not have a right over this small bit of land?A city's progress is often measured by the cost of its land."", ""In Ahmedabad, they started a program where for ten years, 44 settlements were promised there wouldn't be any eviction."", 'And basic necessities were provided to them.', 'And every person was given the right to live over that land.', 'This is the very thought that needs to be changed.Thank you.', 'They cannot be used for sale.', ""And I think this scheme shouldn't be called populism; it should be called an economic development strategy."", 'SRK: Only then will life be filled with love and fun times.']",[],13,0,"[""Can such a huge number of people not have a right over this small bit of land?A city's progress is often measured by the cost of its land.""]",[],1,0
